NOME PRODUTO;VALOR PRODUTO;LINK PRODUTO
Processador Intel i5-10600K 4.10GHz;R$ 1.541,61;https://www.kabum.com.br/produto/496737/processador-intel-i5-10600k-4-10ghz
Processador Intel i5-11400 2.6GHz;R$ 1.214,01;https://www.kabum.com.br/produto/496629/processador-intel-i5-11400-2-6ghz
Processador Intel Core I5-12400, 2.5GHz (4.4GHz Turbo), 12ª Geração, 6 Cores 12 Threads, LGA 1700 - Oem;R$ 1.435,49;https://www.kabum.com.br/produto/474980/processador-intel-core-i5-12400-2-5ghz-4-4ghz-turbo-12-geracao-6-cores-12-threads-lga-1700-oem
Processador Intel Core I5, 8400, 8 Geração, 2.8GHZ, 9MB, LGA1151, Oem;R$ 550,00;https://www.kabum.com.br/produto/529094/processador-intel-core-i5-8400-8-geracao-2-8ghz-9mb-lga1151-oem
Processador Intel Pentium G3220 | G3250;R$ 149,98;https://www.kabum.com.br/produto/467532/processador-intel-pentium-g3220-g3250
Processador Intel Core i5 11400F 2.60GHz;R$ 1.162,71;https://www.kabum.com.br/produto/496452/processador-intel-core-i5-11400f-2-60ghz
Processador Intel Core I5-12400f 2.5GHz (4.4GHz Turbo), 12ª Geração, 6 Cores 12 Threads, LGA 1700 - Oem;R$ 1.435,49;https://www.kabum.com.br/produto/474996/processador-intel-core-i5-12400f-2-5ghz-4-4ghz-turbo-12-geracao-6-cores-12-threads-lga-1700-oem
Processador Intel I5-9500, 4,40ghz, 9mb Cache - Fclga1151;R$ 844,36;https://www.kabum.com.br/produto/527229/processador-intel-i5-9500-4-40ghz-9mb-cache-fclga1151
Processador Intel Core I3-2100 Gamer, 3.1GHz;R$ 215,91;https://www.kabum.com.br/produto/171073/processador-intel-core-i3-2100-gamer-3-1ghz
Processador Intel I5-10600K Marvel's Avengers Collector's Edition Packaging, Cache 12MB, 4.10GHz (4.80GHz) - BX8070110600KA;R$ 1.793,61;https://www.kabum.com.br/produto/222287/processador-intel-i5-10600k-marvel-s-avengers-collector-s-edition-packaging-cache-12mb-4-10ghz-4-80ghz-bx8070110600ka
